code_insee_com,nom_com,RR_med,NBJRR5_med,NBJRR1_med,NBJRR10_med,Tmin_med,Tmax_med,Tens_vap_med,Force_vent_med,Insolation_med,Rayonnement_med,niveau_vie_median_2021
31252,Labastide-Saint-Sernin,51.6,3.0,9.0,1.0,4.6,12.4,11.3,3.6,3378.0,12998.5,27030
31253,Labastidette,48.8,3.0,8.0,1.0,8.2,18.8,11.5,3.3,3522.5,13496.0,24760
31254,Labège,52.5,4.0,7.0,1.0,9.5,19.4,12.1,2.9,3982.0,14329.5,26350
31255,Labroquère,63.5,4.0,9.0,2.0,6.55,18.25,11.1,2.2,3373.0,13106.5,22270
31256,Labruyère-Dorsa,52.1,3.0,7.0,2.0,9.5,19.4,12.1,2.9,3982.0,14329.5,28110
31258,Lacaugne,51.7,4.0,8.0,2.0,8.0,17.2,11.55,2.8,3664.0,13465.0,23740
31259,Lacroix-Falgarde,46.9,3.0,7.0,1.0,8.8,17.9,11.5,3.3,3374.0,13251.0,31270
31260,Laffite-Toupière,79.8,5.0,10.0,3.0,6.1,18.3,11.3,1.8,3884.0,14003.0,N/A - secret statistique
31261,Lafitte-Vigordane,47.0,3.0,7.0,2.0,7.6,18.0,11.9,2.5,3664.0,13465.0,25180
31262,Lagarde,54.65,4.0,8.0,1.0,8.4,18.35,11.7,3.0,3556.0,13450.0,24870
31263,Lagardelle-sur-Lèze,51.65,3.5,8.0,2.0,8.8,17.9,11.5,3.3,3374.0,13251.0,24980
31264,Lagrâce-Dieu,51.65,3.5,8.0,2.0,8.2,18.8,11.5,3.3,3522.5,13496.0,24330
31265,Lagraulet-Saint-Nicolas,53.2,4.0,8.0,1.0,8.4,18.9,11.6,3.0,3834.0,14927.0,22000
31266,Lahage,55.6,3.0,8.0,2.0,7.95,19.45,11.9,2.5,3664.0,13465.0,25280
31267,Lahitère,74.7,5.0,10.0,3.0,8.7,20.45,11.3,1.9,3208.5,12950.0,N/A - secret statistique
